dpd,credit_limit,mobiLoansScore,probability,id
35.0,11900.0,680.0,11.36,3594a461-c454-47ba-8b6e-a998f8cc0f5a
45.0,9300.0,678.0,11.62,2fa1b837-9473-4246-9f2e-764d26760f33
21.0,4200.0,351.0,53.54,1389540e-5b15-4aa8-a7e0-41c758948dee
3.0,13100.0,614.0,19.71,fe4259f7-95d8-4314-936a-087031aec569
40.0,1300.0,631.0,17.69,3941fa3a-bfb3-4952-8c3e-57867aa62f3f
25.0,12900.0,593.0,22.46,1e8fd082-2f1e-44e2-9630-aa0b220b1803
27.0,12100.0,459.0,39.48,6b32b165-7eb0-4b59-9da2-a333be3b9cb7
40.0,19400.0,635.0,17.07,3025dd4f-a04b-42e6-a3b1-34a52845866a
58.0,25800.0,599.0,21.68,1ba4f92f-2f4a-4458-b26d-f773ca5db14c
2.0,24800.0,655.0,14.49,d39ea4ae-8fe8-4f65-92cf-481b136106d4
39.0,19800.0,638.0,16.64,233f2144-ec48-4199-b3f5-0a386f44b926
43.0,11700.0,629.0,17.86,5c781d44-a68e-428f-a51c-420b814b6a1a
40.0,4700.0,250.0,66.14,f3e696be-275d-44c8-8678-4f677c8643b5
31.0,9000.0,405.0,46.46,5b1376dd-223d-4a09-882f-1547ab03b8a9
35.0,6300.0,670.0,12.67,0834f918-ec80-4d01-8cae-e90f70fe9028
20.0,7200.0,671.0,12.45,9ffa40fb-6f45-4b81-946e-081c961666a3
3.0,12200.0,711.0,7.36,71d5fae2-7910-42e1-be1f-967f016041ac
3.0,6600.0,434.0,42.72,c90c68dd-7588-4bd9-9564-4ddc8250b0b2
13.0,19600.0,450.0,40.85,4e91df5a-1a3d-459c-bc62-ad47b664715b
11.0,4700.0,632.0,17.58,4869ab0b-1a09-4cd1-bd89-a6c8bc1944df
3.0,5300.0,418.0,44.85,66278a3b-71d9-4e10-b0d2-35ecdd34e35b
18.0,35600.0,624.0,18.53,5faa9762-0d0d-4252-9af3-b8d1748c1f23
16.0,1400.0,652.0,14.83,ec91b784-7dc8-4b3f-870a-3f0f2df88d5e
29.0,11200.0,512.0,32.72,36e4dc74-5c1b-4e97-bae3-1332473660cf
7.0,10700.0,474.0,37.68,a5eec2fe-2a06-4a7a-b2ab-6ca0b26ca2c7
14.0,22400.0,540.0,29.26,badac83c-f59f-4baf-8cce-b04ea741ab3a
32.0,3700.0,506.0,33.67,b059b1a0-53e2-48dd-88cf-fe863d8a20b0
23.0,5000.0,516.0,32.09,7183b8eb-cd66-4a7f-866b-22a41d2d94c2
18.0,15200.0,678.0,11.66,7b023296-fb7f-4f96-be2f-2f2d5ddffb7f
27.0,16200.0,671.0,12.5,2800ffe7-a568-403b-9958-f0d5133d3ba0
7.0,17500.0,717.0,6.53,792d7060-c603-4f4a-8def-6b48dabe94a1
15.0,14800.0,612.0,19.97,36ded54e-e286-48fd-bd2c-713cda1a4560
32.0,1600.0,288.0,61.39,3bfc9afa-faac-42ac-a334-415d0467a664
31.0,8700.0,505.0,33.6,cfdd5643-1b4c-4a8b-9672-feeff3a01c2d
29.0,11000.0,526.0,31.02,7feba215-8b28-4b0c-8453-ef68e703af29
1.0,5900.0,199.0,72.75,c4f77624-4cc1-4b77-a8c5-dcdff3002551
17.0,15500.0,614.0,19.72,d65e6fc3-aa2f-46b6-a39e-ae84a876a4d1
3.0,4900.0,642.0,16.15,a77fd40e-4dcf-4a63-a29b-3773984d3fda
2.0,1500.0,420.0,44.39,7bd12c2a-252c-4b1e-9fce-325fa4c66bb9
11.0,16900.0,710.0,7.52,538265bb-c7fe-47a9-96aa-cff29155ad96
14.0,7500.0,508.0,33.24,9f054c6c-7c8e-4192-9b25-ed0198e32e4c
3.0,2400.0,596.0,21.91,19d81f21-3dc3-4790-968f-8c0a3117ed75
3.0,12600.0,577.0,24.44,2bf79d88-4fc5-4e72-9154-e185eef89070
50.0,4800.0,680.0,11.39,fcd2d3f2-2dd7-496f-b747-a8fbf49a65ef
6.0,1100.0,413.0,45.42,19c44099-900d-4bc0-983f-90b30e86850b
24.0,2500.0,580.0,24.05,0f808394-4181-4592-901f-55d6687f1f1b
9.0,6100.0,615.0,19.55,80bbf45a-d5de-4697-9524-4ca303e6d897
15.0,3000.0,615.0,19.55,b9eeeb3e-e1c2-406c-b0ea-9cca008f37e1
26.0,2400.0,493.0,35.19,bcf1436a-dc2d-4d31-a9fe-33aecc06eef9
13.0,10500.0,676.0,11.84,86181617-00d3-49e9-bfc1-b41066c04316
4.0,1400.0,595.0,22.29,38c8da07-7189-49ca-86bd-24378fccffe7
38.0,5000.0,445.0,41.6,4a00716b-1d03-49fe-a51e-9206fca1e3d7
20.0,2000.0,669.0,12.67,2b92af3a-c207-447a-98e3-cff99574733d
7.0,5200.0,718.0,6.45,6fe8397b-e401-44f7-812d-f7e48c981bd9
20.0,14000.0,703.0,8.36,7e1d7d04-fd51-4ea3-a82a-54dbcd60307c
6.0,1500.0,565.0,25.98,aa791592-9206-4117-a21a-6ef1ecb60013
26.0,4100.0,373.0,50.46,7d0d9ce1-8986-47ef-8f63-d21ca7ee423a
0.0,6000.0,616.0,19.3,d82a79fd-92d4-4b5c-b1db-3eaefc6a42e5
39.0,7700.0,719.0,6.4,92cde2f6-d998-4c5a-997b-4faba9c1b22f
26.0,16900.0,320.0,57.15,f179bdd9-9563-42c2-bcb3-1b80c93ac460
18.0,4600.0,601.0,21.36,733dc84c-3d5d-40b2-b428-c1019fee52a1
15.0,5600.0,676.0,11.84,f4aff891-beb2-441a-8aa6-3e62e53ee3a8
30.0,2500.0,557.0,27.07,77437338-f9e0-439d-8e92-557fbdce3a3b
20.0,5400.0,575.0,24.66,bfdc4ca5-3f7c-4b51-92a4-4819559e024a
15.0,19700.0,476.0,37.27,1728e38b-d291-4a30-b2b5-9b8fac1b740d
22.0,22900.0,597.0,21.97,ad20d064-5621-44ba-ae4d-6b2f15c007c5
41.0,7200.0,464.0,38.83,2d827c6b-c106-4458-8681-3b2544ae2e4b
30.0,7100.0,712.0,7.19,d02d4e05-1e48-4e0d-9c68-b12085da7769
25.0,21800.0,582.0,23.77,f8ad581c-4c44-4123-9c6a-2a9dec5d462a
13.0,3800.0,615.0,19.65,b234573b-afbe-4d8f-b1f9-cf825a789543
14.0,5400.0,539.0,29.41,f2db7ea3-9686-4002-b5db-1dff7c29b62b
14.0,17800.0,248.0,66.45,c150e149-c9d9-4b37-8163-ea76d630929e
9.0,12200.0,670.0,12.53,f04160f4-38de-4c37-bae6-3736c997fc4f
3.0,2300.0,631.0,17.61,b746f290-bd7d-4eef-97b5-44ac1ddf9a35
1.0,9800.0,715.0,6.9,f36fedd7-d17a-4b20-8242-7584dea9b4b7
3.0,4700.0,347.0,53.6,a2f40aef-5ec1-4c47-98d1-575c6338ee1d
4.0,15700.0,662.0,13.52,afb0756c-a8ce-4f3c-9e53-7ce7705d499d
2.0,5900.0,719.0,6.39,47e5005d-d3a9-4035-810f-9e99bd5b7bfe
3.0,4600.0,696.0,9.21,2a5bf23e-886e-456b-955b-7e5f39390d2a
24.0,6300.0,575.0,24.71,ae24ad22-ff93-483c-a4d2-1ab3795c62f4
18.0,5400.0,713.0,7.02,c6966fa7-aae7-41da-bdc0-33ca6afe0c4d
15.0,14500.0,709.0,7.58,97f53b47-2ce7-4eec-aac0-3fb0224b9f5d
40.0,6500.0,598.0,21.71,01ead989-81dc-4b51-9bc6-2e2979b8ff3f
18.0,5100.0,566.0,25.72,c4ffe3f8-462c-49e2-a684-ad591e832346
29.0,6700.0,554.0,27.34,228764b6-b4e4-41b7-ad9f-31bf6269f9c1
5.0,2900.0,610.0,20.34,a4613683-b17f-47db-b740-c167edea5926
24.0,13900.0,691.0,9.91,7b8475ea-209b-4a00-9253-7629d7840bc5
9.0,3900.0,691.0,9.96,eeede3d7-c445-49ab-ae2b-98628c949b71
17.0,5100.0,688.0,10.21,342f0691-cbb7-4f4d-aaec-4fcffd1346b5
54.0,11700.0,702.0,8.45,d63455bb-5b1e-4394-9031-9ead8449195a
0.0,2400.0,474.0,37.66,ece4e27b-9ff3-4d23-ae3f-58c4587e14b8
32.0,18300.0,468.0,38.38,2fcf2f6f-8dea-4ba0-852c-a692d7b7ef34
11.0,9000.0,486.0,36.22,0bd1eee7-f688-48a1-910c-8981de2042ed
21.0,5900.0,547.0,28.33,bd454c63-cf28-44c4-893f-b735a1ae84d1
27.0,1300.0,617.0,19.36,a6083c1b-8e3e-4c7e-90c4-f7912ba5af7a
13.0,3700.0,577.0,24.34,bf7f1ced-9eb4-47cf-b65f-faf39f1dfad9
14.0,16200.0,696.0,9.24,0b413000-64b0-4665-bac7-f0c6fead3d53
5.0,1400.0,529.0,30.53,dd95e0b4-2ab6-46cf-9f54-a99062825d5b
9.0,1800.0,591.0,22.7,7dc552dd-cb7e-42c0-a20a-27c89883aecc
11.0,19800.0,697.0,9.15,f9674abb-7e40-4927-94fc-d216fa680d67
50.0,12100.0,627.0,18.18,77436dcb-5a3a-4940-867c-2107472bbe5d
11.0,14100.0,492.0,35.3,e1683f0a-6a4a-40fb-ae3f-46ee65220666
20.0,19400.0,607.0,20.65,58fe8b09-f456-4938-8b00-b6563d12587b
12.0,6000.0,684.0,10.81,30f84ab4-834f-4a32-80ab-b3c5f9de27f1
15.0,4600.0,587.0,23.22,f396aa22-4d7d-4ca2-8466-aad58a292de2
0.0,11900.0,656.0,14.25,0d61c866-28bb-41a9-8f22-7f0b76d5a16f
33.0,15500.0,611.0,20.09,208ae52a-b5aa-4e92-9578-757b1d30d19e
11.0,1400.0,610.0,20.38,481c15ba-2f93-4e62-834b-c3e8579f30a0
16.0,2500.0,474.0,37.66,c8fd865d-67c8-45f6-867c-eb2906b15815
9.0,10300.0,293.0,60.58,4791f54b-4c71-4ae0-8bb3-cd711eb06e1d
46.0,4700.0,500.0,34.4,918d2286-6df2-4a87-aa1e-fa092a4a7722
15.0,10700.0,470.0,37.91,62f46448-9202-4466-9345-d2795abb83bd
17.0,13800.0,663.0,13.47,e291206a-d1e1-4db3-baf9-603373e307e2
2.0,2900.0,518.0,32.01,5c27b695-68ad-4a33-a5d7-2ba34502c4b0
9.0,19300.0,707.0,7.89,146d20dd-04a7-4ddb-873e-0390c5dc0ee0
33.0,3100.0,659.0,14.07,d1988ef9-c9a1-4a3a-8a4c-20e8841f5b4e
24.0,22500.0,660.0,13.87,5b068078-62dc-4f9f-92d3-aac4135ebcbe
15.0,7400.0,653.0,14.71,c7e8f366-faf6-401f-a080-ed3db9f7bc74
15.0,12700.0,635.0,17.18,f7807a12-aede-480f-b949-12c6a2a99093
14.0,6200.0,689.0,10.19,0fc9b49c-3014-449b-9fad-8b770a9e57d1
22.0,5900.0,552.0,27.64,38ab550d-c88a-4655-af53-17910c304de0
33.0,2300.0,612.0,19.95,df49c9a8-a366-45a8-aae5-3b0f3f86769e
0.0,2400.0,687.0,10.35,66880b84-255c-4174-8d65-19ba37acc5a2
13.0,17200.0,513.0,32.66,60cc91bb-7568-4af1-958d-af3f8e6d97e5
14.0,4400.0,655.0,14.56,24518bd4-181a-4ebb-8df9-982dc056f0a9
17.0,2100.0,622.0,18.77,270d5b9b-90af-4311-aa55-55621bced13d
29.0,15500.0,626.0,18.12,7a939f2e-8d1b-4112-861d-d72a963e4227
45.0,25800.0,606.0,20.58,066157b7-e0a1-49c7-a6c4-6310e81d45f6
25.0,2700.0,294.0,60.53,636af152-9c08-4eb7-a4df-97dfff37b26a
47.0,25900.0,521.0,31.63,5aa1ca64-3e87-48dd-b48a-8fccda4db567
25.0,18900.0,692.0,9.76,36325cff-6480-462f-b577-49d7d93b4ec2
47.0,20000.0,649.0,15.3,9ea58b90-db5f-4cf9-a8ab-366c6bb91f72
8.0,2300.0,586.0,23.32,38c9b696-fed3-4a30-a473-203f20fe7245
0.0,6000.0,425.0,43.97,94c691c1-b102-4597-8c0c-2bd755b94b8e
24.0,6300.0,570.0,25.39,3b07d4e4-d58c-4679-b8b9-436d8979c5f3
11.0,21500.0,485.0,36.25,787f9e90-2c1f-4c83-84f7-5d85b7243d26
35.0,8000.0,577.0,24.32,8f80bc51-58dc-470b-9756-4df922ec74a2
3.0,1300.0,443.0,41.47,7ae84eba-a350-4eec-b7d1-3d6de03beac7
11.0,4600.0,504.0,33.92,142bc18a-9667-4d61-aa73-28afc7233559
26.0,20300.0,410.0,45.67,333e57bc-5e4a-443d-a749-f3c3cfa383b7
2.0,8400.0,597.0,21.78,7b2ee6fb-e33f-42bf-bbc8-30f2da182b1a
45.0,17300.0,675.0,11.95,0dedcd87-a41c-493d-b205-d4d01c997a4c
4.0,3200.0,718.0,6.49,e25bcd97-e250-4973-a59b-dfac78660d05
23.0,13500.0,531.0,30.37,11bbce85-828e-434e-a66b-ccb47d3d2d65
39.0,15300.0,457.0,39.91,65822be2-050e-40ba-93a6-728832fd84f6
46.0,15100.0,607.0,20.61,c8ca3eab-023e-4a6b-895c-91102d8a9abb
15.0,1600.0,479.0,37.03,d30be39d-dd5e-4bbf-867a-95110624b1bd
0.0,13900.0,519.0,31.98,31c6c042-1f88-4438-ab8a-6ad1910e7712
11.0,5800.0,625.0,18.34,6d196a9d-805b-45c7-a1c6-e8b2ef70f593
17.0,2800.0,580.0,24.04,08a527b9-95f9-45b6-9c4d-6fd66f423da0
21.0,31200.0,700.0,8.77,e23922dc-ad2a-426f-b276-f96eea5c9312
29.0,18500.0,624.0,18.41,066ce4ae-0937-4eab-a9e9-29e210a255a6
9.0,10800.0,461.0,39.1,fe98e23e-7f38-4b28-b420-4118ac39a108
6.0,14000.0,643.0,16.02,2ecb6041-fd93-4a1d-86b3-1ee5172d253a
0.0,1400.0,624.0,18.51,fd3e7d3a-e01e-4dfc-8f20-f163835e789d
9.0,9700.0,684.0,10.73,f38cb41e-142c-4621-ae54-ae0c7dff04ef
6.0,1400.0,626.0,18.17,d62d8a96-84c3-489b-a12c-440e72445a09
4.0,13000.0,589.0,22.89,75b8931b-601d-425a-8a05-9efd6a9ecb9b
8.0,16300.0,502.0,34.22,145325f1-224b-41ef-a462-23cd16d92417
42.0,6500.0,539.0,29.32,d540f9cd-aeba-46f6-ab38-e14aeab09581
34.0,4500.0,608.0,20.56,f7c84a13-7a0b-40ca-b306-3f6a14528827
55.0,34100.0,702.0,8.48,e2cb45ba-3649-4cfa-817c-f233ae54ce1f
13.0,4400.0,536.0,29.7,1d1a79a0-81fa-437a-a37b-07f511b45cd6
52.0,6900.0,358.0,52.6,4379b885-b454-483f-b7aa-92766f99b489
61.0,25900.0,680.0,11.32,40ce8298-89f6-48ab-bb4e-3bf6941db49f
12.0,3400.0,700.0,8.75,1ae2c422-ecf3-4d0e-b5c9-b6de74ebf813
22.0,2500.0,534.0,30.05,86a351fd-d95c-4f11-86a3-8254dc9240e6
42.0,4200.0,633.0,17.44,b382ff40-44a1-4111-bac0-92ffea3765f4
6.0,2800.0,553.0,27.61,800a3700-4091-4a14-9eb3-06a48f086f3d
10.0,6100.0,649.0,15.21,97d54b5e-14a0-4bbd-b0c0-8055aa29deb8
28.0,9500.0,528.0,30.83,fd3c47da-80e4-4783-af77-fa09fae0cbe1
37.0,21300.0,683.0,10.98,1a862b00-071c-45ef-b4d8-84426ba74080
8.0,6600.0,631.0,17.66,18434d3c-667e-4ff3-9102-50ee1331e483
7.0,7000.0,570.0,25.32,f7d2e1d4-8140-46cb-aa3a-732f862dff4b
27.0,12400.0,593.0,22.57,cd2325f4-225f-4ca1-ab21-0224d5a09410
13.0,10700.0,514.0,32.51,f03fd669-3ab4-4fc0-a1b3-b1a3a07adb2e
30.0,1000.0,657.0,14.29,7e642e28-f958-4649-831f-6b675a358e5c
49.0,17300.0,641.0,16.3,82abea6c-f6ee-4dab-99a1-e0986b11f343
28.0,14800.0,698.0,9.06,33ba80a1-4f7d-4425-ade5-5d7035350dca
52.0,19200.0,537.0,29.36,b5f917cd-2302-4084-8486-203624b6aba7
24.0,19300.0,468.0,38.52,ce6cea6f-6dc1-43ac-b8cd-3a95e70c1473
17.0,6000.0,688.0,10.29,5fb986c8-8af9-428b-933f-ca2a38444a4e
21.0,8100.0,671.0,12.42,b75114b3-3200-4dae-bd35-e1ee1c894a68
12.0,5800.0,626.0,18.23,fab9e7b6-aa42-445c-948d-233d8f2466e5
23.0,8300.0,660.0,13.81,bfbef1ee-1561-41bc-8389-dcfc17c3cc7b
24.0,4800.0,534.0,30.07,51b0a39f-835b-4f04-a938-89f2cfb6d67c
14.0,15300.0,495.0,34.86,5d2512a7-590f-437a-b0c3-9f4c57077b63
27.0,9400.0,512.0,32.88,1857737b-4765-4f89-914f-e8ae11316ffe
9.0,5100.0,682.0,11.01,083f8127-f7fc-4cbd-841a-f8e0c5763e1d
17.0,2400.0,335.0,55.37,4e32993d-78ca-4092-949b-2a0ab19eb1f3
20.0,16500.0,526.0,30.95,226893a1-aebd-4649-ad02-f03c27a727af
24.0,12800.0,713.0,7.03,eb6da5bb-c7e8-40a3-9361-93c7622ab597
17.0,9800.0,502.0,34.0,e60ccf12-ab12-446e-9ecf-5ee3a1ce8f56
16.0,5800.0,717.0,6.65,9b72634c-aa74-42f6-ad6f-56941316263c
4.0,9100.0,721.0,6.09,43f52ceb-c7b6-49d5-a74e-9a7e702d76b9
17.0,8500.0,599.0,21.78,bd7c7a50-a088-41fd-9eb1-65e03a1f5c57
49.0,4600.0,612.0,20.03,4473f7dd-81ff-4211-be56-709a107f3ee7
52.0,3900.0,702.0,8.55,64da14d4-b7e1-4ff1-a9a0-9f3f20beb8b9
23.0,2500.0,394.0,47.97,81785133-c758-402d-afd3-4b7cedb921a0
17.0,22000.0,567.0,25.81,61c118e3-2acb-4801-8789-d947db0fec27
36.0,20100.0,618.0,19.17,f1679fb9-81a9-4b1c-9d3e-54a70392e8fc
23.0,4100.0,695.0,9.46,a3446b98-7fc8-4ed8-8c31-ad78b1af1f32
1.0,13800.0,720.0,6.25,360ea943-b113-480d-8f13-13a8cf58fc8b
27.0,34300.0,701.0,8.69,7dea2826-8b02-4571-9ca5-daecddce0747
20.0,14600.0,717.0,6.52,00636d74-b685-448b-b3e8-ac6f27bf31ca
17.0,5400.0,502.0,33.95,65b39dc9-e1fb-41e3-87e1-6f7baed09e06
7.0,5300.0,417.0,44.94,c61d6d3c-e1df-44b7-a524-4ab555c523e5
54.0,4300.0,637.0,16.74,7883147c-a28d-4de7-8f45-3a239b2c75b8
25.0,1300.0,557.0,27.0,46944084-acd9-4f12-bf74-53840eb40bf6
27.0,12500.0,552.0,27.65,359e57d1-d47d-4d5c-8b27-f0776a08a2ae
18.0,4200.0,646.0,15.62,d217c8b8-ba94-4338-9759-7b693b0d1d6a
26.0,6400.0,664.0,13.3,a73b8ce6-ee47-4cbf-9678-36b9f0bb963f
36.0,5300.0,688.0,10.26,c763e5f7-0be6-4a7d-8dfe-f521a47f540b
4.0,19100.0,478.0,37.03,4d994448-0073-492a-921b-42767ad415ae
7.0,11100.0,515.0,32.41,9495fedf-3af9-414a-9c2a-375351de9880
3.0,10200.0,395.0,47.77,1edeff84-6ff0-49a8-afca-a94e9db08114
12.0,5100.0,583.0,23.76,b3abe4d2-1975-460d-bc55-9f8d8fa8550c
12.0,4800.0,566.0,25.96,a80a76ca-9c90-4cf5-baa6-949e7523b6e5
42.0,11200.0,643.0,16.03,b2868516-f88b-4730-a652-e3c1b4b35bdf
27.0,1000.0,538.0,29.35,004f723d-abc1-4cee-b230-3411364c6548
0.0,4800.0,512.0,32.8,dcc786cc-f776-46e6-b213-58be8c01bfd2
22.0,2800.0,446.0,41.25,3dd0a400-d23a-4c44-8a1c-65d77ee7b887
4.0,1300.0,511.0,32.92,316b5803-8300-4c1b-afb4-c1c01ba02fb8
8.0,15600.0,482.0,36.71,ab2ab502-5101-48fb-a272-3559cf04e7ab
32.0,9200.0,590.0,22.81,c7ad01a4-748b-4716-b5c2-c7bcad2226ff
37.0,13800.0,689.0,10.22,7299a337-1699-431f-a6bd-9fbb6dac9963
47.0,13900.0,603.0,21.23,1ab7baf1-3fa7-4dee-889d-24c6629da4b5
7.0,5000.0,538.0,29.28,14c77816-a7af-491c-b916-a326d5f3a06c
27.0,9600.0,577.0,24.51,8909aa7a-f62e-4681-b5ce-86b2b86a1558
9.0,9300.0,711.0,7.32,911e2476-e962-4d22-aa91-64dbe71e265b
50.0,22100.0,514.0,32.59,c1e36979-181c-4b92-9e02-043febfa9584
18.0,28800.0,569.0,25.43,72d2b77b-ba6e-4580-ba7d-2f0f57234302
